Time,CarSpeed,rPedal,pBrakeF,pBrakeR,aSteering,Gy_FLT,Gx_FLT,pTyre_FL,pTyre_FR,pTyre_RL,pTyre_RR,TTyre_FL,TTyre_FR,TTyre_RL,TTyre_RR,
0:00,231.7,102.5,-0.1,-0.1,-2.8,-0.3,0.161,21.74,21.54,19.31,19.21,46.6,48.1,38.7,40.1,
0:02,232.0,102.5,0.1,0.2,-2.8,-0.4,0.218,21.74,21.54,19.31,19.21,46.6,48.1,38.7,40.1,
0:04,232.1,102.6,-0.1,-0.2,-2.8,-0.4,0.289,21.74,21.54,19.31,19.21,46.6,48.1,38.7,40.1,
0:06,232.5,102.6,0.3,-0.2,-2.8,-0.5,0.345,21.74,21.54,19.31,19.21,46.6,48.1,38.7,40.1,
0:08,232.8,102.6,-0.1,0.0,-2.8,-0.5,0.377,21.74,21.54,19.31,19.21,46.6,48.1,38.7,40.1,
0:10,233.1,102.5,0.2,0.2,-2.9,-0.5,0.383,21.74,21.54,19.31,19.21,46.6,48.1,38.7,40.1,
0:12,233.2,102.5,0.1,-0.1,-3.1,-0.5,0.366,21.74,21.54,19.31,19.21,46.6,48.1,38.7,40.1,
0:14,233.3,102.5,0.0,0.0,-2.9,-0.5,0.335,21.74,21.54,19.31,19.21,46.6,48.1,38.7,40.1,
0:16,233.4,102.5,-0.1,0.3,-2.9,-0.5,0.300,21.74,21.54,19.31,19.21,46.6,48.1,38.7,40.1,
0:18,233.6,102.5,0.1,0.3,-3.1,-0.4,0.273,21.74,21.54,19.31,19.21,46.6,48.1,38.7,40.1,
0:20,233.8,102.5,-0.1,-0.2,-2.9,-0.4,0.259,21.74,21.54,19.31,19.21,46.6,48.1,38.7,40.1,
0:22,234.1,102.5,0.1,0.2,-2.8,-0.4,0.260,21.74,21.54,19.31,19.21,46.6,48.1,38.7,40.1,
0:24,234.3,102.5,0.1,0.1,-2.6,-0.3,0.274,21.74,21.54,19.31,19.21,46.6,48.1,38.7,40.1,
0:26,234.3,102.6,0.2,0.2,-2.8,-0.3,0.293,21.74,21.54,19.31,19.21,46.6,48.1,38.7,40.1,
0:28,234.4,102.5,-0.1,0.2,-2.8,-0.3,0.310,21.74,21.54,19.31,19.21,46.6,48.1,38.7,40.1,
