Time,CarSpeed,rPedal,pBrakeF,pBrakeR,aSteering,Gy_FLT,Gx_FLT,pTyre_FL,pTyre_FR,pTyre_RL,pTyre_RR,TTyre_FL,TTyre_FR,TTyre_RL,TTyre_RR,
0:00,232.0,103.2,0.0,0.2,-3.0,-0.2,0.173,20.59,20.47,18.31,18.08,49.5,50.3,46.1,49.8,
0:02,232.5,103.0,-0.1,0.0,-3.0,-0.3,0.226,20.59,20.47,18.31,18.08,49.5,50.3,46.1,49.8,
0:04,232.9,103.3,-0.1,0.0,-2.8,-0.3,0.285,20.59,20.47,18.31,18.08,49.5,50.3,46.1,49.8,
0:06,233.4,103.3,-0.2,0.0,-1.8,-0.4,0.323,20.59,20.47,18.31,18.08,49.5,50.3,46.1,49.8,
0:08,233.8,103.3,0.1,0.2,-1.8,-0.4,0.337,20.59,20.47,18.31,18.08,49.5,50.3,46.1,49.8,
0:10,233.8,103.2,-0.2,0.0,-1.6,-0.4,0.329,20.59,20.47,18.31,18.08,49.5,50.3,46.1,49.8,
0:12,233.6,103.2,0.0,0.3,-1.3,-0.4,0.306,20.59,20.47,18.31,18.08,49.5,50.3,46.1,49.8,
0:14,233.7,103.0,-0.1,0.0,-2.0,-0.4,0.277,20.59,20.47,18.31,18.08,49.5,50.3,46.1,49.8,
0:16,234.0,103.2,0.1,0.3,-2.7,-0.4,0.251,20.59,20.47,18.31,18.08,49.5,50.3,46.1,49.8,
0:18,234.4,103.1,-0.1,0.3,-3.1,-0.4,0.234,20.59,20.47,18.31,18.08,49.5,50.3,46.1,49.8,
0:20,234.5,103.1,-0.1,0.3,-2.9,-0.4,0.229,20.59,20.47,18.31,18.08,49.5,50.3,46.1,49.8,
0:22,234.7,103.3,0.1,-0.1,-2.7,-0.3,0.235,20.59,20.47,18.31,18.08,49.5,50.3,46.1,49.8,
0:24,234.8,103.1,-0.3,0.0,-2.7,-0.3,0.247,20.59,20.47,18.31,18.08,49.5,50.3,46.1,49.8,
0:26,234.7,103.3,-0.1,0.3,-2.7,-0.3,0.260,20.59,20.47,18.31,18.08,49.5,50.3,46.1,49.8,
0:28,234.8,103.3,-0.1,0.2,-2.7,-0.2,0.268,20.59,20.47,18.31,18.08,49.5,50.3,46.1,49.8,
0:30,235.1,103.3,-0.1,0.2,-2.9,-0.2,0.270,20.59,20.47,18.31,18.08,49.5,50.3,46.1,49.8,
0:32,235.4,103.4,0.0,0.1,-3.8,-0.2,0.264,20.59,20.47,18.31,18.08,49.5,50.3,46.1,49.8,
0:34,235.7,103.2,-0.1,0.2,-4.0,-0.2,0.254,20.59,20.47,18.31,18.08,49.5,50.3,46.1,49.8,
0:36,236.1,103.4,-0.1,0.0,-4.0,-0.2,0.244,20.59,20.47,18.31,18.08,49.5,50.3,46.1,49.8,
0:38,236.4,103.1,-0.1,0.0,-4.0,-0.3,0.236,20.59,20.47,18.31,18.08,49.5,50.3,46.1,49.8,
0:40,236.4,103.2,-0.2,0.3,-4.2,-0.3,0.232,20.59,20.47,18.31,18.08,49.5,50.3,46.1,49.8,
0:42,236.3,103.3,-0.1,0.2,-4.0,-0.3,0.232,20.40,20.48,18.26,18.13,49.6,50.6,46.2,49.8,
0:44,236.3,103.1,0.1,0.2,-4.0,-0.3,0.235,20.40,20.48,18.26,18.13,49.6,50.6,46.2,49.8,
0:46,236.6,103.3,-0.1,0.2,-4.0,-0.3,0.239,20.40,20.48,18.26,18.13,49.6,50.6,46.2,49.8,
0:48,237.0,103.1,0.1,0.3,-4.2,-0.3,0.242,20.40,20.48,18.26,18.13,49.6,50.6,46.2,49.8,
0:50,237.3,103.3,-0.1,-0.1,-3.8,-0.3,0.243,20.40,20.48,18.26,18.13,49.6,50.6,46.2,49.8,
0:52,237.4,103.2,0.0,0.5,-2.9,-0.3,0.242,20.40,20.48,18.26,18.13,49.6,50.6,46.2,49.8,
0:54,237.4,103.1,-0.1,0.2,-2.3,-0.3,0.240,20.40,20.48,18.26,18.13,49.6,50.6,46.2,49.8,
